id,movie_id,genre_id
1,505642,28
2,505642,12
3,505642,878
4,436270,28
5,436270,14
6,436270,878
7,663712,27
8,663712,53
9,829280,9648
10,829280,12
11,829280,80
12,675054,27
13,675054,28
14,675054,35
15,882598,27
16,882598,9648
17,882598,53
18,732459,28
19,732459,14
20,966220,18
21,966220,28
22,966220,10752
23,49046,10752
24,49046,18
25,49046,28
26,985939,53
27,760161,27
28,760161,53
29,979924,53
30,717728,27
31,717728,53
32,717728,9648
33,1033107,80
34,1033107,18
35,944864,28
36,944864,80
37,944864,53
38,856245,9648
39,856245,14
40,856245,53
41,642885,14
42,642885,35
43,642885,10751
44,896485,28
45,896485,80
46,896485,53
47,830788,27
48,830788,53
49,616037,14
50,616037,28
51,616037,35
52,361743,28
53,361743,18
54,420634,27
55,420634,53
56,718930,28
57,718930,35
58,718930,53
59,575322,878
60,960704,28
61,960704,12
62,960704,14
63,848526,53
64,848526,18
65,507086,12
66,507086,28
67,507086,878
68,532639,14
69,532639,12
70,532639,10751
71,766507,53
72,766507,28
73,766507,878
74,779782,14
75,779782,28
76,779782,18
77,848058,18
78,848058,53
79,848058,27
80,676701,12
81,676701,16
82,676701,35
83,676701,10751
84,676701,14
85,634649,28
86,634649,12
87,634649,878
88,928123,10752
89,928123,36
90,928123,28
91,928123,18
92,852046,18
93,852046,28
94,852046,53
95,284054,28
96,284054,12
97,284054,878
98,780609,27
99,780609,53
100,780609,14
101,477462,27
102,477462,9648
103,916605,53
104,916605,9648
105,900667,16
106,900667,12
107,900667,28
108,900667,14
109,438148,16
110,438148,10751
111,610150,16
112,610150,878
113,610150,28
114,760741,53
115,760741,12
116,760741,27
117,19995,28
118,19995,12
119,19995,14
120,19995,878
121,848791,80
122,848791,18
123,848791,9648
124,848791,53
125,879538,53
126,675353,28
127,675353,12
128,675353,10751
129,675353,35
130,928773,27
131,928773,53
132,928015,27
133,928015,14
134,928015,53
135,453395,14
136,453395,28
137,453395,12
138,791155,878
139,791155,12
140,791155,28
141,539681,16
142,539681,28
143,539681,10751
144,539681,35
145,539681,878
146,86328,27
147,744276,10749
148,744276,18
149,916719,53
150,916719,28
151,76600,878
152,76600,28
153,76600,12
154,936061,10751
155,936061,14
156,936061,10770
157,619730,53
158,619730,9648
159,619730,878
160,862965,80
161,862965,18
162,862965,9648
163,862965,53
164,811061,27
165,811061,53
166,629176,28
167,629176,18
168,629176,878
169,904039,16
170,904039,35
171,955644,16
172,955644,14
173,955644,12
174,414906,80
175,414906,9648
176,414906,53
177,1024535,27
178,1040603,99
179,810693,16
180,810693,28
181,810693,14
182,585511,16
183,585511,12
184,585511,35
185,585511,14
186,635302,16
187,635302,28
188,635302,12
189,635302,14
190,834734,53
191,833097,10749
192,833097,35
193,756999,27
194,756999,53
195,807356,9648
196,807356,53
197,807356,27
198,568124,16
199,568124,35
200,568124,10751
201,568124,14
202,508947,16
203,508947,10751
204,508947,35
205,508947,14
206,579974,28
207,579974,18
208,962232,10749
209,962232,18
210,962232,35
211,1024530,27
212,924482,53
213,924482,12
